locus_tag	ftype	length_bp	gene	EC_number	COG	product
OMBLIMKG_00001	CDS	1020	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
OMBLIMKG_00002	CDS	1800		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
OMBLIMKG_00003	CDS	786		3.1.3.-	COG0561	Putative phosphatase
OMBLIMKG_00004	CDS	465	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
OMBLIMKG_00005	CDS	813	fdhD		COG1526	Sulfur carrier protein FdhD
OMBLIMKG_00006	CDS	612	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
OMBLIMKG_00007	CDS	2691	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
OMBLIMKG_00008	CDS	237	fdhE_1		COG3058	Protein FdhE
OMBLIMKG_00009	CDS	513	fdhE_2		COG3058	Protein FdhE
OMBLIMKG_00010	CDS	441	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
OMBLIMKG_00011	CDS	405	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
OMBLIMKG_00012	CDS	993	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
OMBLIMKG_00013	CDS	909	era		COG1159	GTPase Era
OMBLIMKG_00014	CDS	684	rnc	3.1.26.3	COG0571	Ribonuclease 3
OMBLIMKG_00015	CDS	1050	lepB	3.4.21.89	COG0681	Signal peptidase I
OMBLIMKG_00016	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
OMBLIMKG_00017	CDS	606				hypothetical protein
OMBLIMKG_00018	CDS	696	yadV_1			putative fimbrial chaperone YadV
OMBLIMKG_00019	CDS	2496	htrE_1		COG3188	Outer membrane usher protein HtrE
OMBLIMKG_00020	CDS	1125				F17d-G fimbrial adhesin
OMBLIMKG_00021	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
OMBLIMKG_00022	CDS	660	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
OMBLIMKG_00023	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
OMBLIMKG_00024	CDS	1440	ybhI		COG0471	Inner membrane protein YbhI
OMBLIMKG_00025	CDS	1398	citG	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
OMBLIMKG_00026	CDS	1503	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
OMBLIMKG_00027	CDS	876	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
OMBLIMKG_00028	CDS	288	citD		COG3052	Citrate lyase acyl carrier protein
OMBLIMKG_00029	CDS	1008	citC	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
OMBLIMKG_00030	CDS	963	lipA	2.8.1.8	COG0320	Lipoyl synthase
OMBLIMKG_00031	CDS	639	lipB	2.3.1.181	COG0321	Octanoyltransferase
OMBLIMKG_00032	CDS	279				hypothetical protein
OMBLIMKG_00033	CDS	1182	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
OMBLIMKG_00034	CDS	864	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
OMBLIMKG_00035	CDS	1116	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
OMBLIMKG_00036	CDS	1956	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
OMBLIMKG_00037	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
OMBLIMKG_00038	CDS	309	rsfS		COG0799	Ribosomal silencing factor RsfS
OMBLIMKG_00039	CDS	1656	aspT			Aspartate/alanine antiporter
OMBLIMKG_00040	CDS	1779	bacA_1		COG4178	Vitamin B12 transport ATP-binding protein BacA
OMBLIMKG_00041	CDS	1056	mreB		COG1077	Cell shape-determining protein MreB
OMBLIMKG_00042	CDS	1056	mreC		COG1792	Cell shape-determining protein MreC
OMBLIMKG_00043	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
OMBLIMKG_00044	CDS	777				hyp_HI0040: family protein
OMBLIMKG_00045	CDS	804	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
OMBLIMKG_00046	CDS	675	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
OMBLIMKG_00047	CDS	1065				hypothetical protein
OMBLIMKG_00048	CDS	663	yccA		COG0670	Modulator of FtsH protease YccA
OMBLIMKG_00049	tRNA	90				tRNA-Ser(tga)
OMBLIMKG_00050	CDS	555	ytfJ		COG3054	putative protein YtfJ
