locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFACCJHN_00001	CDS	1020	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
HFACCJHN_00002	CDS	1800		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
HFACCJHN_00003	CDS	786		3.1.3.-	COG0561	Putative phosphatase
HFACCJHN_00004	CDS	465	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
HFACCJHN_00005	CDS	285	fdhD		COG1526	Sulfur carrier protein FdhD
HFACCJHN_00006	CDS	567	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
HFACCJHN_00007	CDS	513	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
HFACCJHN_00008	CDS	1662	fdnG_3	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
HFACCJHN_00009	CDS	225	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
HFACCJHN_00010	CDS	189				formate-DH-gamm: formate dehydrogenase, gamma subunit
HFACCJHN_00011	CDS	909	fdhE		COG3058	Protein FdhE
HFACCJHN_00012	CDS	441	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
HFACCJHN_00013	CDS	405	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
HFACCJHN_00014	CDS	993	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
HFACCJHN_00015	CDS	909	era		COG1159	GTPase Era
HFACCJHN_00016	CDS	684	rnc	3.1.26.3	COG0571	Ribonuclease 3
HFACCJHN_00017	CDS	1050	lepB	3.4.21.89	COG0681	Signal peptidase I
HFACCJHN_00018	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
HFACCJHN_00019	CDS	582	smf-1		COG3539	Major fimbrial subunit SMF-1
HFACCJHN_00020	CDS	696	yadV_1			putative fimbrial chaperone YadV
HFACCJHN_00021	CDS	2496	htrE_1		COG3188	Outer membrane usher protein HtrE
HFACCJHN_00022	CDS	1125				F17d-G fimbrial adhesin
HFACCJHN_00023	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
HFACCJHN_00024	CDS	660	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
HFACCJHN_00025	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
HFACCJHN_00026	CDS	1440	ybhI		COG0471	Inner membrane protein YbhI
HFACCJHN_00027	CDS	1398	citG	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
HFACCJHN_00028	CDS	1503	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
HFACCJHN_00029	CDS	876	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
HFACCJHN_00030	CDS	288	citD		COG3052	Citrate lyase acyl carrier protein
HFACCJHN_00031	CDS	1008	citC	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
HFACCJHN_00032	CDS	963	lipA	2.8.1.8	COG0320	Lipoyl synthase
HFACCJHN_00033	CDS	639	lipB	2.3.1.181	COG0321	Octanoyltransferase
HFACCJHN_00034	CDS	279				hypothetical protein
HFACCJHN_00035	CDS	1182	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
HFACCJHN_00036	CDS	864	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
HFACCJHN_00037	CDS	1116	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
HFACCJHN_00038	CDS	1956	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
HFACCJHN_00039	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
HFACCJHN_00040	CDS	309	rsfS		COG0799	Ribosomal silencing factor RsfS
HFACCJHN_00041	CDS	1656	aspT			Aspartate/alanine antiporter
HFACCJHN_00042	CDS	1779	bacA		COG4178	Vitamin B12 transport ATP-binding protein BacA
HFACCJHN_00043	CDS	1056	mreB		COG1077	Cell shape-determining protein MreB
HFACCJHN_00044	CDS	1056	mreC		COG1792	Cell shape-determining protein MreC
HFACCJHN_00045	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
HFACCJHN_00046	CDS	777				hyp_HI0040: family protein
HFACCJHN_00047	CDS	804	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
HFACCJHN_00048	CDS	675	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
HFACCJHN_00049	CDS	1065				hypothetical protein
HFACCJHN_00050	CDS	663	yccA		COG0670	Modulator of FtsH protease YccA
HFACCJHN_00051	tRNA	90				tRNA-Ser(tga)
HFACCJHN_00052	CDS	561	ytfJ		COG3054	putative protein YtfJ
HFACCJHN_00053	CDS	327				phnA: putative alkylphosphonate utilization operon protein PhnA
HFACCJHN_00054	CDS	714				hypothetical protein
HFACCJHN_00055	CDS	1830	uvrC		COG0322	UvrABC system protein C
HFACCJHN_00056	CDS	765	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
HFACCJHN_00057	CDS	999	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
HFACCJHN_00058	CDS	1764	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
HFACCJHN_00059	CDS	2367				ComEC_Rec2: DNA internalization-related competence protein ComEC/Rec2
HFACCJHN_00060	CDS	438	dksA		COG1734	RNA polymerase-binding transcription factor DksA
HFACCJHN_00061	CDS	1359	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
HFACCJHN_00062	CDS	483	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
HFACCJHN_00063	CDS	477	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
HFACCJHN_00064	CDS	1299				spore_cwlD: N-acetylmuramoyl-L-alanine amidase CwlD
HFACCJHN_00065	CDS	1890	mutL		COG0323	DNA mismatch repair protein MutL
HFACCJHN_00066	CDS	912	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
HFACCJHN_00067	CDS	2946	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
HFACCJHN_00068	CDS	1677	recN		COG0497	DNA repair protein RecN
HFACCJHN_00069	CDS	891	nadK	2.7.1.23	COG0061	NAD kinase
HFACCJHN_00070	CDS	597	grpE		COG0576	Protein GrpE
HFACCJHN_00071	CDS	345			COG1708	putative protein
HFACCJHN_00072	CDS	432				putative protein
HFACCJHN_00073	CDS	2124	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
