locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJFNJEFF_00001	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
EJFNJEFF_00002	CDS	375	rpsL		COG0048	30S ribosomal protein S12
EJFNJEFF_00003	CDS	471	rpsG		COG0049	30S ribosomal protein S7
EJFNJEFF_00004	CDS	2103	fusA		COG0480	Elongation factor G
EJFNJEFF_00005	CDS	1185	tufB_1		COG0050	Elongation factor Tu 2
EJFNJEFF_00006	CDS	288	tusB			Protein TusB
EJFNJEFF_00007	CDS	360	tusC			Protein TusC
EJFNJEFF_00008	CDS	381	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
EJFNJEFF_00009	CDS	666	dauR		COG2964	Transcriptional regulator DauR
EJFNJEFF_00010	CDS	726		5.2.1.8	COG0545	putative FKBP-type peptidyl-prolyl cis-trans isomerase
EJFNJEFF_00011	CDS	222	slyX			Protein SlyX
EJFNJEFF_00012	CDS	726	PGdx	1.11.1.15	COG0678	Hybrid peroxiredoxin hyPrx5
EJFNJEFF_00013	CDS	906	oxyR			Hydrogen peroxide-inducible genes activator
EJFNJEFF_00014	CDS	618	fabR		COG1309	HTH-type transcriptional repressor FabR
EJFNJEFF_00015	CDS	489	greB		COG0782	Transcription elongation factor GreB
EJFNJEFF_00016	CDS	2313	yhgF		COG2183	Protein YhgF
EJFNJEFF_00017	CDS	2421	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
EJFNJEFF_00018	CDS	675	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
EJFNJEFF_00019	CDS	675	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
EJFNJEFF_00020	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
EJFNJEFF_00021	CDS	453	asnC		COG1522	Regulatory protein AsnC
EJFNJEFF_00022	CDS	396	hslR		COG1188	Heat shock protein 15
EJFNJEFF_00023	CDS	1989				TIGR00733: oligopeptide transporter, OPT family
EJFNJEFF_00024	CDS	417				hypothetical protein
EJFNJEFF_00025	CDS	810	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
EJFNJEFF_00026	CDS	1485	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
EJFNJEFF_00027	CDS	699	pgl	3.1.1.31	COG0363	6-phosphogluconolactonase
EJFNJEFF_00028	CDS	447				hypothetical protein
EJFNJEFF_00029	CDS	846				hypothetical protein
EJFNJEFF_00030	CDS	1455	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
EJFNJEFF_00031	CDS	624				hypothetical protein
EJFNJEFF_00032	CDS	828	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
EJFNJEFF_00033	CDS	837	lex1_1	2.-.-.-	COG3306	Lipooligosaccharide biosynthesis protein lex-1
EJFNJEFF_00034	CDS	864	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
EJFNJEFF_00035	CDS	219	infA		COG0361	Translation initiation factor IF-1
EJFNJEFF_00036	CDS	378	rpsF		COG0360	30S ribosomal protein S6
EJFNJEFF_00037	CDS	285	priB		COG2965	Primosomal replication protein N
EJFNJEFF_00038	CDS	228	rpsR		COG0238	30S ribosomal protein S18
EJFNJEFF_00039	CDS	450	rplI		COG0359	50S ribosomal protein L9
EJFNJEFF_00040	CDS	1647	groL		COG0459	60 kDa chaperonin
EJFNJEFF_00041	CDS	291	groS		COG0234	10 kDa chaperonin
EJFNJEFF_00042	CDS	1572	abgT		COG2978	p-aminobenzoyl-glutamate transport protein
EJFNJEFF_00043	CDS	1419	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
EJFNJEFF_00044	CDS	1890	rpoD		COG0568	RNA polymerase sigma factor RpoD
EJFNJEFF_00045	CDS	1782	dnaG	2.7.7.-	COG0358	DNA primase
EJFNJEFF_00046	CDS	216	rpsU		COG0828	30S ribosomal protein S21
EJFNJEFF_00047	CDS	1029	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
EJFNJEFF_00048	CDS	582	tdk	2.7.1.21		Thymidine kinase
EJFNJEFF_00049	CDS	1221	tyrP_1		COG0814	Tyrosine-specific transport protein
EJFNJEFF_00050	CDS	261			COG1145	putative ferredoxin-like protein
EJFNJEFF_00051	CDS	807				hypothetical protein
EJFNJEFF_00052	CDS	1161	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
EJFNJEFF_00053	CDS	1080	fbaA	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
EJFNJEFF_00054	CDS	1041				heptsyl_trn_I: lipopolysaccharide heptosyltransferase I
EJFNJEFF_00055	CDS	657				hypothetical protein
EJFNJEFF_00056	CDS	1545				putative protein
EJFNJEFF_00057	CDS	789	yjjW	1.97.1.-	COG1180	Putative glycyl-radical enzyme activating enzyme YjjW
EJFNJEFF_00058	CDS	1254	nupX		COG1972	Putative nucleoside permease NupX
EJFNJEFF_00059	CDS	717	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
EJFNJEFF_00060	CDS	429	rplK		COG0080	50S ribosomal protein L11
EJFNJEFF_00061	CDS	690	rplA		COG0081	50S ribosomal protein L1
EJFNJEFF_00062	CDS	4032	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
EJFNJEFF_00063	CDS	4251	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
EJFNJEFF_00064	CDS	945	tehA		COG1275	Tellurite resistance protein TehA 
EJFNJEFF_00065	CDS	720	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
