qseqid	qstart	qend	qlen	sseqid	sstart	send	slen	evalue	length	pident	gaps	gapopen	stitle
EBNMPBKG_00077	10	378	378	ICEberg~~~ICE_1010~~~ATB17841.1~~~S-(hydroxymethyl)glutathione_dehydrogenase/class_III_alcohol_dehydrogenase_Pseudomonas_aeruginosa	1	369	369	2.06e-236	369	84.0	0	0	ICEberg~~~ICE_1010~~~ATB17841.1~~~S-(hydroxymethyl)glutathione_dehydrogenase/class_III_alcohol_dehydrogenase_Pseudomonas_aeruginosa  ICEberg|1010 gi|1224956919|ref|ATB17841.1| S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase [Pseudomonas aeruginosa]
EBNMPBKG_00111	3	495	514	ICEberg~~~ICE_23~~~ACV96414.1~~~type_I_restriction-modification_system,_M_subunit_Vibrio_cholerae_Mex1	7	500	524	1.36e-289	494	80.6	1	1	ICEberg~~~ICE_23~~~ACV96414.1~~~type_I_restriction-modification_system,_M_subunit_Vibrio_cholerae_Mex1  ICEberg|23 gi|259156470|gb|ACV96414.1| type I restriction-modification system, M subunit [Vibrio cholerae Mex1]
EBNMPBKG_00116	1	1027	1027	ICEberg~~~ICE_23~~~ACV96447.1~~~type_I_site-specific_deoxyribonuclease,_R_subunit_Vibrio_cholerae_Mex1	1	1037	1037	0.0	1038	74.8	12	3	ICEberg~~~ICE_23~~~ACV96447.1~~~type_I_site-specific_deoxyribonuclease,_R_subunit_Vibrio_cholerae_Mex1  ICEberg|23 gi|259156503|gb|ACV96447.1| type I site-specific deoxyribonuclease, R subunit [Vibrio cholerae Mex1]
EBNMPBKG_00134	3	690	709	ICEberg~~~ICE_36~~~ACV96538.1~~~polyribonucleotide_nucleotidyltransferase_Vibrio_fluvialis_Ind1	5	692	708	0.0	688	76.5	0	0	ICEberg~~~ICE_36~~~ACV96538.1~~~polyribonucleotide_nucleotidyltransferase_Vibrio_fluvialis_Ind1  ICEberg|36 gi|259156595|gb|ACV96538.1| polyribonucleotide nucleotidyltransferase [Vibrio fluvialis Ind1]
EBNMPBKG_00155	1	168	168	ICEberg~~~ICE_987~~~AGK02762.1~~~single-stranded_DNA-binding_protein_Ssb_Mannheimia_haemolytica_M42548	1	150	150	1.17e-74	168	67.3	18	3	ICEberg~~~ICE_987~~~AGK02762.1~~~single-stranded_DNA-binding_protein_Ssb_Mannheimia_haemolytica_M42548  ICEberg|987 gi|7843130654|ref|AGK02762.1| single-stranded DNA-binding protein Ssb [Mannheimia haemolytica M42548]
EBNMPBKG_00433	1	534	548	ICEberg~~~ICE_1096~~~YP_004144969.1~~~chaperonin_GroEL_Mesorhizobium_ciceri_biovar_biserrulae_WSM1271	1	533	555	2.88e-246	535	68.2	3	2	ICEberg~~~ICE_1096~~~YP_004144969.1~~~chaperonin_GroEL_Mesorhizobium_ciceri_biovar_biserrulae_WSM1271  ICEberg|1096 gi|7223842013|ref|YP_004144969.1| chaperonin GroEL [Mesorhizobium ciceri biovar biserrulae WSM1271]
EBNMPBKG_00785	6	526	526	ICEberg~~~ICE_40~~~CAR44788.1~~~peptide_chain_release_factor_3_Proteus_mirabilis_HI4320	9	529	529	0.0	521	84.3	0	0	ICEberg~~~ICE_40~~~CAR44788.1~~~peptide_chain_release_factor_3_Proteus_mirabilis_HI4320  ICEberg|40 gi|194683755|emb|CAR44788.1| peptide chain release factor 3 [Proteus mirabilis HI4320]
EBNMPBKG_00952	1	445	446	ICEberg~~~ICE_406~~~CAF28523.1~~~putative_HsdM-like_N-methyl_transferase_Yersinia_pseudotuberculosis	102	566	568	1.23e-221	465	65.4	20	3	ICEberg~~~ICE_406~~~CAF28523.1~~~putative_HsdM-like_N-methyl_transferase_Yersinia_pseudotuberculosis  ICEberg|406 gi|49658897|emb|CAF28523.1| putative HsdM-like N-methyl transferase [Yersinia pseudotuberculosis]
EBNMPBKG_01004	1	89	89	ICEberg~~~ICE_36~~~ACV96558.1~~~ribosomal_protein_S15_Vibrio_fluvialis_Ind1	1	89	89	9.13e-39	89	74.2	0	0	ICEberg~~~ICE_36~~~ACV96558.1~~~ribosomal_protein_S15_Vibrio_fluvialis_Ind1  ICEberg|36 gi|259156615|gb|ACV96558.1| ribosomal protein S15 [Vibrio fluvialis Ind1]
EBNMPBKG_01468	1	44	44	ICEberg~~~ICE_812~~~CCH26401.1~~~ribosomal_protein_L34_Streptococcus_pyogenes	1	44	44	1.95e-16	44	72.7	0	0	ICEberg~~~ICE_812~~~CCH26401.1~~~ribosomal_protein_L34_Streptococcus_pyogenes  ICEberg|812 gi|7374557478|ref|CCH26401.1| ribosomal protein L34 [Streptococcus pyogenes]
