locus_tag	ftype	length_bp	gene	EC_number	COG	product
BHKEBAIG_00001	CDS	1020	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
BHKEBAIG_00002	CDS	1800		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
BHKEBAIG_00003	CDS	786		3.1.3.-	COG0561	Putative phosphatase
BHKEBAIG_00004	CDS	465	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
BHKEBAIG_00005	CDS	813	fdhD		COG1526	Sulfur carrier protein FdhD
BHKEBAIG_00006	CDS	612	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
BHKEBAIG_00007	CDS	2427	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
BHKEBAIG_00008	CDS	939	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
BHKEBAIG_00009	CDS	717	fdnI		COG2864	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit
BHKEBAIG_00010	CDS	909	fdhE		COG3058	Protein FdhE
BHKEBAIG_00011	CDS	441	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
BHKEBAIG_00012	CDS	405	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
BHKEBAIG_00013	CDS	993	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
BHKEBAIG_00014	CDS	909	era		COG1159	GTPase Era
BHKEBAIG_00015	CDS	684	rnc	3.1.26.3	COG0571	Ribonuclease 3
BHKEBAIG_00016	CDS	1050	lepB	3.4.21.89	COG0681	Signal peptidase I
BHKEBAIG_00017	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
BHKEBAIG_00018	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
BHKEBAIG_00019	CDS	660	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
BHKEBAIG_00020	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
BHKEBAIG_00021	CDS	1440	ybhI		COG0471	Inner membrane protein YbhI
BHKEBAIG_00022	CDS	1398	citG	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
BHKEBAIG_00023	CDS	1503	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
BHKEBAIG_00024	CDS	876	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
BHKEBAIG_00025	CDS	288	citD		COG3052	Citrate lyase acyl carrier protein
BHKEBAIG_00026	CDS	1008	citC	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
BHKEBAIG_00027	CDS	963	lipA	2.8.1.8	COG0320	Lipoyl synthase
BHKEBAIG_00028	CDS	639	lipB	2.3.1.181	COG0321	Octanoyltransferase
BHKEBAIG_00029	CDS	279				hypothetical protein
BHKEBAIG_00030	CDS	1182	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
BHKEBAIG_00031	CDS	864	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
BHKEBAIG_00032	CDS	1116	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
BHKEBAIG_00033	CDS	1956	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
BHKEBAIG_00034	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
BHKEBAIG_00035	CDS	309	rsfS		COG0799	Ribosomal silencing factor RsfS
BHKEBAIG_00036	CDS	1656	aspT			Aspartate/alanine antiporter
BHKEBAIG_00037	CDS	1779	bacA_1		COG4178	Vitamin B12 transport ATP-binding protein BacA
BHKEBAIG_00038	CDS	1056	mreB		COG1077	Cell shape-determining protein MreB
BHKEBAIG_00039	CDS	1056	mreC		COG1792	Cell shape-determining protein MreC
BHKEBAIG_00040	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
BHKEBAIG_00041	CDS	777				hyp_HI0040: family protein
BHKEBAIG_00042	CDS	804	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
BHKEBAIG_00043	CDS	675	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
BHKEBAIG_00044	CDS	1065				hypothetical protein
BHKEBAIG_00045	CDS	663	yccA		COG0670	Modulator of FtsH protease YccA
BHKEBAIG_00046	tRNA	90				tRNA-Ser(tga)
BHKEBAIG_00047	CDS	555	ytfJ		COG3054	putative protein YtfJ
BHKEBAIG_00048	CDS	2289	gshAB		COG1181	Glutathione biosynthesis bifunctional protein GshAB
BHKEBAIG_00049	CDS	714				hypothetical protein
BHKEBAIG_00050	CDS	1830	uvrC		COG0322	UvrABC system protein C
BHKEBAIG_00051	CDS	765	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
BHKEBAIG_00052	CDS	999	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
BHKEBAIG_00053	CDS	1764	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
BHKEBAIG_00054	CDS	2367				ComEC_Rec2: DNA internalization-related competence protein ComEC/Rec2
BHKEBAIG_00055	CDS	438	dksA		COG1734	RNA polymerase-binding transcription factor DksA
BHKEBAIG_00056	CDS	1359	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
BHKEBAIG_00057	CDS	483	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
BHKEBAIG_00058	CDS	477	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
BHKEBAIG_00059	CDS	1299				spore_cwlD: N-acetylmuramoyl-L-alanine amidase CwlD
BHKEBAIG_00060	CDS	1914	mutL		COG0323	DNA mismatch repair protein MutL
BHKEBAIG_00061	CDS	936	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
BHKEBAIG_00062	CDS	2946	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
BHKEBAIG_00063	CDS	1677	recN		COG0497	DNA repair protein RecN
BHKEBAIG_00064	CDS	891	nadK	2.7.1.23	COG0061	NAD kinase
BHKEBAIG_00065	CDS	597	grpE		COG0576	Protein GrpE
BHKEBAIG_00066	CDS	345			COG1708	putative protein
BHKEBAIG_00067	CDS	432				putative protein
BHKEBAIG_00068	CDS	2124	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
BHKEBAIG_00069	CDS	633				hypothetical protein
BHKEBAIG_00070	CDS	471	yjiG		COG0700	Inner membrane protein YjiG
BHKEBAIG_00071	CDS	1125	cpg2	3.4.17.11		Carboxypeptidase G2
