locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBNMPBKG_00001	rRNA	2680				23S ribosomal RNA
EBNMPBKG_00002	tRNA	76				tRNA-Glu(ttc)
EBNMPBKG_00003	rRNA	1536				16S ribosomal RNA
EBNMPBKG_00004	tRNA	77				tRNA-Pro(tgg)
EBNMPBKG_00005	tRNA	76				tRNA-His(gtg)
EBNMPBKG_00006	tRNA	77				tRNA-Arg(ccg)
EBNMPBKG_00007	CDS	2136	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
EBNMPBKG_00008	tRNA	77				tRNA-Met(cat)
EBNMPBKG_00009	CDS	1110	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
EBNMPBKG_00010	CDS	771	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
EBNMPBKG_00011	CDS	1068	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
EBNMPBKG_00012	CDS	507				hypothetical protein
EBNMPBKG_00013	CDS	1362	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
EBNMPBKG_00014	CDS	1191	metC	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
EBNMPBKG_00015	CDS	513	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
EBNMPBKG_00016	tRNA	76				tRNA-Gly(gcc)
EBNMPBKG_00017	tRNA	87				tRNA-Leu(taa)
EBNMPBKG_00018	tRNA	76				tRNA-Lys(ttt)
EBNMPBKG_00019	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
EBNMPBKG_00020	CDS	1317	ghxP		COG2252	Guanine/hypoxanthine permease GhxP
EBNMPBKG_00021	CDS	1050	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EBNMPBKG_00022	CDS	2058				PhnU2: putative 2-aminoethylphosphonate ABC transporter, permease protein
EBNMPBKG_00023	CDS	1041			COG1840	putative protein
EBNMPBKG_00024	CDS	642	udk	2.7.1.48		Uridine kinase
EBNMPBKG_00025	CDS	588	dcd	3.5.4.13	COG0717	dCTP deaminase
EBNMPBKG_00026	CDS	1176				hypothetical protein
EBNMPBKG_00027	CDS	1209	sotB		COG2814	Sugar efflux transporter
EBNMPBKG_00028	CDS	1515	der		COG1160	GTPase Der
EBNMPBKG_00029	tRNA	77				tRNA-Asp(gtc)
EBNMPBKG_00030	tRNA	77				tRNA-Asp(gtc)
EBNMPBKG_00031	CDS	771	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
EBNMPBKG_00032	CDS	465	rnhA	3.1.26.4	COG0328	Ribonuclease HI
EBNMPBKG_00033	CDS	1104				hypothetical protein
EBNMPBKG_00034	CDS	1146	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
EBNMPBKG_00035	CDS	813	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
EBNMPBKG_00036	CDS	882	nanA	4.1.3.3	COG0329	N-acetylneuraminate lyase
EBNMPBKG_00037	CDS	867	ybbH		COG1737	putative HTH-type transcriptional regulator YbbH
EBNMPBKG_00038	CDS	903	nanK	2.7.1.60	COG1940	N-acetylmannosamine kinase
EBNMPBKG_00039	CDS	687	nanE	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
EBNMPBKG_00040	CDS	990	siaP		COG1638	Sialic acid-binding periplasmic protein SiaP
EBNMPBKG_00041	CDS	1851	siaT		COG1593	Sialic acid TRAP transporter permease protein SiaT
EBNMPBKG_00042	CDS	1140	nanM	5.1.3.24	COG3055	N-acetylneuraminate epimerase
EBNMPBKG_00043	CDS	291				hypothetical protein
EBNMPBKG_00044	CDS	888	hflC		COG0330	Modulator of FtsH protease HflC
EBNMPBKG_00045	CDS	1221	hflK		COG0330	Modulator of FtsH protease HflK
EBNMPBKG_00046	CDS	708				hypothetical protein
EBNMPBKG_00047	CDS	1332	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
EBNMPBKG_00048	CDS	231	acpP		COG0236	Acyl carrier protein
EBNMPBKG_00049	CDS	729	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
EBNMPBKG_00050	CDS	939	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
EBNMPBKG_00051	CDS	951	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
EBNMPBKG_00052	CDS	171	rpmF		COG0333	50S ribosomal protein L32
EBNMPBKG_00053	CDS	525	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
EBNMPBKG_00054	CDS	873	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
EBNMPBKG_00055	CDS	1371	gor	1.8.1.7	COG1249	Glutathione reductase
EBNMPBKG_00056	CDS	600				hypothetical protein
EBNMPBKG_00057	CDS	312	bolA		COG0271	DNA-binding transcriptional regulator BolA
EBNMPBKG_00058	CDS	1344	nqrA	7.2.1.1	COG1726	Na(+)-translocating NADH-quinone reductase subunit A
EBNMPBKG_00059	CDS	1236	nqrB	7.2.1.1	COG1805	Na(+)-translocating NADH-quinone reductase subunit B
EBNMPBKG_00060	CDS	735	nqrC	7.2.1.1	COG2869	Na(+)-translocating NADH-quinone reductase subunit C
EBNMPBKG_00061	CDS	627	nqrD	7.2.1.1	COG1347	Na(+)-translocating NADH-quinone reductase subunit D
EBNMPBKG_00062	CDS	597	nqrE	7.2.1.1	COG2209	Na(+)-translocating NADH-quinone reductase subunit E
EBNMPBKG_00063	CDS	1236	nqrF	7.2.1.1	COG2871	Na(+)-translocating NADH-quinone reductase subunit F
EBNMPBKG_00064	CDS	1041	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
EBNMPBKG_00065	CDS	261				hypothetical protein
EBNMPBKG_00066	CDS	1152	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
EBNMPBKG_00067	CDS	735	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
EBNMPBKG_00068	CDS	975	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
EBNMPBKG_00069	CDS	789	bamD		COG4105	Outer membrane protein assembly factor BamD
EBNMPBKG_00070	CDS	483	pe			Surface-adhesin protein E
EBNMPBKG_00071	CDS	741	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
EBNMPBKG_00072	CDS	2313	pflB	2.3.1.54	COG1882	Formate acetyltransferase 1
EBNMPBKG_00073	CDS	855	focA		COG2116	putative formate transporter 1
EBNMPBKG_00074	CDS	915	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
EBNMPBKG_00075	CDS	1440	alsT_1		COG1115	Amino-acid carrier protein AlsT
EBNMPBKG_00076	CDS	828		3.1.2.12	COG0627	S-formylglutathione hydrolase
EBNMPBKG_00077	CDS	1137	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
EBNMPBKG_00078	CDS	408			COG0789	putative HTH-type transcriptional regulator
EBNMPBKG_00079	CDS	228	tatA		COG1826	Sec-independent protein translocase protein TatA
EBNMPBKG_00080	CDS	561	tatB			Sec-independent protein translocase protein TatB
EBNMPBKG_00081	CDS	771	tatC		COG0805	Sec-independent protein translocase protein TatC
EBNMPBKG_00082	CDS	1350	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
EBNMPBKG_00083	CDS	441	fur		COG0735	Ferric uptake regulation protein
EBNMPBKG_00084	CDS	525	fldA		COG0716	Flavodoxin 1
