qseqid	qstart	qend	qlen	sseqid	sstart	send	slen	evalue	length	pident	gaps	gapopen	stitle
EJFNJEFF_00044	1	629	629	phast~~~RNA_polymerase_sigma_factor~~~YP_009882596.1~~~PHAST_100040	1	613	613	1.43e-270	629	68.7	16	3	phast~~~RNA_polymerase_sigma_factor~~~YP_009882596.1~~~PHAST_100040 PHAGE_Klebsi_ST147_VIM1phi7.1_NC_049451-gi|100040|ref|YP_009882596.1| RNA polymerase sigma factor [Klebsiella phage ST147-VIM1phi7.1]
EJFNJEFF_00046	1	71	71	phast~~~30S_ribosomal_protein_S21~~~YP_009882598.1~~~PHAST_100042	1	71	71	8.17e-30	71	76.1	0	0	phast~~~30S_ribosomal_protein_S21~~~YP_009882598.1~~~PHAST_100042 PHAGE_Klebsi_ST147_VIM1phi7.1_NC_049451-gi|100042|ref|YP_009882598.1| 30S ribosomal protein S21 [Klebsiella phage ST147-VIM1phi7.1]
EJFNJEFF_00047	1	341	342	phast~~~tRNA_(adenosine(37)_N6)_threonylcarbamoyltransferase_complex_transferase_subunit~~~YP_009882599.1~~~PHAST_100043	1	336	337	5.24e-188	341	73.9	5	2	phast~~~tRNA_(adenosine(37)_N6)_threonylcarbamoyltransferase_complex_transferase_subunit~~~YP_009882599.1~~~PHAST_100043 PHAGE_Klebsi_ST147_VIM1phi7.1_NC_049451-gi|100043|ref|YP_009882599.1| tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit [Klebsiella phage ST147-VIM1phi7.1]
EJFNJEFF_00078	1	444	444	phast~~~molecular_chaperone_and_ATPase_component_of_HslUV_protease~~~NP_418366.1~~~PHAST_16131769	1	443	443	2.95e-251	444	80.6	1	1	phast~~~molecular_chaperone_and_ATPase_component_of_HslUV_protease~~~NP_418366.1~~~PHAST_16131769 PROPHAGE_Escher_MG1655-gi|16131769|ref|NP_418366.1| molecular chaperone and ATPase component of HslUV protease [Escherichia coli str. K-12 substr. MG1655]
EJFNJEFF_00079	1	173	175	phast~~~peptidase_component_of_the_HslUV_protease~~~NP_418367.1~~~PHAST_16131770	1	172	176	1.07e-92	173	80.3	1	1	phast~~~peptidase_component_of_the_HslUV_protease~~~NP_418367.1~~~PHAST_16131770 PROPHAGE_Escher_MG1655-gi|16131770|ref|NP_418367.1| peptidase component of the HslUV protease [Escherichia coli str. K-12 substr. MG1655]
EJFNJEFF_00334	3	116	168	phast~~~single_stranded_DNA_binding_protein~~~YP_009812580.1~~~PHAST_100033	5	121	175	3.17e-52	117	67.5	3	1	phast~~~single_stranded_DNA_binding_protein~~~YP_009812580.1~~~PHAST_100033 PHAGE_Escher_C130_2_NC_048067-gi|100033|ref|YP_009812580.1| single-stranded DNA-binding protein [Escherichia phage C130_2]
EJFNJEFF_00491	1	320	462	phast~~~signal_recognition_particle_protein~~~YP_009949256.1~~~PHAST_100057	1	320	321	2.25e-190	320	84.7	0	0	phast~~~signal_recognition_particle_protein~~~YP_009949256.1~~~PHAST_100057 PHAGE_Escher_500465_1_NC_049342-gi|100057|ref|YP_009949256.1| signal recognition particle protein [Escherichia phage 500465-1]
EJFNJEFF_00515	1	337	337	phast~~~integrase~~~NP_536807.1~~~PHAST_17981816	1	337	337	1.71e-249	337	100	0	0	phast~~~integrase~~~NP_536807.1~~~PHAST_17981816 PHAGE_Haemop_HP2_NC_003315-gi|17981816|ref|NP_536807.1| integrase [Haemophilus phage HP2]
EJFNJEFF_00516	1	254	254	phast~~~hypothetical_protein~~~NP_536808.1~~~PHAST_17981817	1	254	254	2.86e-179	254	100	0	0	phast~~~hypothetical_protein~~~NP_536808.1~~~PHAST_17981817 PHAGE_Haemop_HP2_NC_003315-gi|17981817|ref|NP_536808.1| hypothetical protein [Haemophilus phage HP2]
EJFNJEFF_00518	1	191	191	phast~~~cI_repressor~~~NP_536809.1~~~PHAST_17981818	1	191	191	2.00e-141	191	100	0	0	phast~~~cI_repressor~~~NP_536809.1~~~PHAST_17981818 PHAGE_Haemop_HP2_NC_003315-gi|17981818|ref|NP_536809.1| cI repressor [Haemophilus phage HP2]
