locus_tag	ftype	length_bp	gene	EC_number	COG	product
IIBCLGFB_00001	CDS	1020	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
IIBCLGFB_00002	CDS	1800		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
IIBCLGFB_00003	CDS	786		3.1.3.-	COG0561	Putative phosphatase
IIBCLGFB_00004	CDS	465	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
IIBCLGFB_00005	CDS	813	fdhD		COG1526	Sulfur carrier protein FdhD
IIBCLGFB_00006	CDS	612	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
IIBCLGFB_00007	CDS	2427	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
IIBCLGFB_00008	CDS	939	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
IIBCLGFB_00009	CDS	717	fdnI		COG2864	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit
IIBCLGFB_00010	CDS	909	fdhE		COG3058	Protein FdhE
IIBCLGFB_00011	CDS	441	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
IIBCLGFB_00012	CDS	405	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
IIBCLGFB_00013	CDS	993	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
IIBCLGFB_00014	CDS	909	era		COG1159	GTPase Era
IIBCLGFB_00015	CDS	684	rnc	3.1.26.3	COG0571	Ribonuclease 3
IIBCLGFB_00016	CDS	1050	lepB	3.4.21.89	COG0681	Signal peptidase I
IIBCLGFB_00017	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
IIBCLGFB_00018	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
IIBCLGFB_00019	CDS	660	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
IIBCLGFB_00020	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
IIBCLGFB_00021	CDS	1440	ybhI		COG0471	Inner membrane protein YbhI
IIBCLGFB_00022	CDS	1398	citG	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
IIBCLGFB_00023	CDS	1503	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
IIBCLGFB_00024	CDS	876	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
IIBCLGFB_00025	CDS	288	citD		COG3052	Citrate lyase acyl carrier protein
IIBCLGFB_00026	CDS	1008	citC	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
IIBCLGFB_00027	CDS	963	lipA	2.8.1.8	COG0320	Lipoyl synthase
IIBCLGFB_00028	CDS	639	lipB	2.3.1.181	COG0321	Octanoyltransferase
