locus_tag	ftype	length_bp	gene	EC_number	COG	product
IKKOIBFM_00001	rRNA	2055				23S ribosomal RNA (partial)
IKKOIBFM_00002	rRNA	110				5S ribosomal RNA
IKKOIBFM_00003	CDS	930	metR			HTH-type transcriptional regulator MetR
IKKOIBFM_00004	CDS	720				azlC: azaleucine resistance protein AzlC
IKKOIBFM_00005	CDS	330				hypothetical protein
IKKOIBFM_00006	CDS	234				hypothetical protein
IKKOIBFM_00007	CDS	1581	prfC		COG4108	Peptide chain release factor RF3
IKKOIBFM_00008	CDS	789	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
IKKOIBFM_00009	CDS	1980	rnb	3.1.13.1	COG4776	Exoribonuclease 2
IKKOIBFM_00010	CDS	642	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
IKKOIBFM_00011	CDS	930	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
IKKOIBFM_00012	CDS	738	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
IKKOIBFM_00013	CDS	1194	mntH			Divalent metal cation transporter MntH
IKKOIBFM_00014	CDS	1335	argG	6.3.4.5	COG0137	Argininosuccinate synthase
IKKOIBFM_00015	CDS	873	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
IKKOIBFM_00016	CDS	2346	mrcB		COG0744	Penicillin-binding protein 1B
IKKOIBFM_00017	CDS	399				hypothetical protein
IKKOIBFM_00018	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
IKKOIBFM_00019	CDS	807	map	3.4.11.18	COG0024	Methionine aminopeptidase
IKKOIBFM_00020	CDS	2592	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
IKKOIBFM_00021	CDS	1068	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
IKKOIBFM_00022	tRNA	76				tRNA-Gly(gcc)
IKKOIBFM_00023	tRNA	76				tRNA-Gly(gcc)
IKKOIBFM_00024	CDS	549	orn	3.1.-.-	COG1949	Oligoribonuclease
IKKOIBFM_00025	CDS	1041	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
IKKOIBFM_00026	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
IKKOIBFM_00027	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
IKKOIBFM_00028	CDS	501	crr		COG2190	PTS system glucose-specific EIIA component
IKKOIBFM_00029	CDS	213				hypothetical protein
IKKOIBFM_00030	CDS	366			COG3111	putative protein
IKKOIBFM_00031	CDS	666	qseB			Transcriptional regulatory protein QseB
IKKOIBFM_00032	CDS	1356	qseC	2.7.13.3		Sensor protein QseC
IKKOIBFM_00033	CDS	1944	betS			Glycine betaine/proline betaine transporter BetS
IKKOIBFM_00034	CDS	1476	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
IKKOIBFM_00035	CDS	1104	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
IKKOIBFM_00036	CDS	1077	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
IKKOIBFM_00037	CDS	2271	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
IKKOIBFM_00038	CDS	744				hypothetical protein
IKKOIBFM_00039	CDS	1206				hypothetical protein
IKKOIBFM_00040	CDS	915	lst	2.4.99.-		CMP-N-acetylneuraminate:beta-galactoside alpha-2,3-sialyltransferase
IKKOIBFM_00041	CDS	1062	pglH	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
IKKOIBFM_00042	CDS	774				hypothetical protein
IKKOIBFM_00043	CDS	885				mycofact_glyco: mycofactocin system glycosyltransferase
IKKOIBFM_00044	CDS	804	wbbD	2.4.1.303	COG0463	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase
IKKOIBFM_00045	CDS	768	modE		COG2005	DNA-binding transcriptional dual regulator ModE
IKKOIBFM_00046	CDS	765	modA		COG0725	Molybdate-binding protein ModA
IKKOIBFM_00047	CDS	690	modB		COG4149	Molybdenum transport system permease protein ModB
IKKOIBFM_00048	CDS	1056	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IKKOIBFM_00049	CDS	1374				hypothetical protein
IKKOIBFM_00050	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
IKKOIBFM_00051	CDS	708	rnfE	7.-.-.-	COG4660	Ion-translocating oxidoreductase complex subunit E
IKKOIBFM_00052	CDS	624	rsxG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
IKKOIBFM_00053	CDS	1077	rsxD	7.-.-.-	COG4658	Ion-translocating oxidoreductase complex subunit D
IKKOIBFM_00054	CDS	2124	rsxC	7.-.-.-	COG4656	Ion-translocating oxidoreductase complex subunit C
IKKOIBFM_00055	CDS	582	rnfB	7.-.-.-	COG2878	Ion-translocating oxidoreductase complex subunit B
IKKOIBFM_00056	CDS	579	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
IKKOIBFM_00057	CDS	1062	sohB	3.4.21.-	COG0616	putative protease SohB
IKKOIBFM_00058	CDS	666				hypothetical protein
IKKOIBFM_00059	CDS	2157	yccS		COG1289	Inner membrane protein YccS
IKKOIBFM_00060	CDS	1953		2.4.1.-		UDP-glucose:protein N-beta-glucosyltransferase
IKKOIBFM_00061	CDS	1638				hypothetical protein
IKKOIBFM_00062	CDS	4578				hypothetical protein
IKKOIBFM_00063	CDS	1047				hypothetical protein
IKKOIBFM_00064	CDS	1377	radA	3.6.4.-	COG1066	DNA repair protein RadA
IKKOIBFM_00065	CDS	480	lrp		COG1522	Leucine-responsive regulatory protein
IKKOIBFM_00066	CDS	2769				T7_EssCb_Firm: type VII secretion protein EssC
IKKOIBFM_00067	CDS	618	lolA		COG2834	Outer-membrane lipoprotein carrier protein
IKKOIBFM_00068	CDS	1341	rarA		COG2256	Replication-associated recombination protein A
IKKOIBFM_00069	CDS	1299	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
IKKOIBFM_00070	CDS	837	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
IKKOIBFM_00071	CDS	405	hns			DNA-binding protein H-NS
IKKOIBFM_00072	CDS	1521				antiport_nhaC: Na+/H+ antiporter NhaC
IKKOIBFM_00073	CDS	1722	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
IKKOIBFM_00074	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
IKKOIBFM_00075	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
IKKOIBFM_00076	CDS	570	yecM		COG3102	Protein YecM
IKKOIBFM_00077	CDS	465	pcp		COG3133	Outer membrane lipoprotein pcp
IKKOIBFM_00078	CDS	972				PgaC_IcaA: poly-beta-1,6 N-acetyl-D-glucosamine synthase
IKKOIBFM_00079	CDS	99				hypothetical protein
IKKOIBFM_00080	CDS	1650	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
IKKOIBFM_00081	CDS	1083	alr	5.1.1.1		Alanine racemase, biosynthetic
IKKOIBFM_00082	CDS	1407	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
IKKOIBFM_00083	CDS	1437	pykA	2.7.1.40	COG0469	Pyruvate kinase II
IKKOIBFM_00084	tRNA	77				tRNA-Val(gac)
IKKOIBFM_00085	CDS	318				hypothetical protein
IKKOIBFM_00086	CDS	699				hypothetical protein
IKKOIBFM_00087	CDS	282				hypothetical protein
IKKOIBFM_00088	CDS	717				hypothetical protein
IKKOIBFM_00089	CDS	537	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
IKKOIBFM_00090	CDS	447				hypothetical protein
IKKOIBFM_00091	CDS	177				hypothetical protein
IKKOIBFM_00092	CDS	660				hypothetical protein
IKKOIBFM_00093	CDS	177				hypothetical protein
IKKOIBFM_00094	CDS	552				hypothetical protein
IKKOIBFM_00095	CDS	1086	prfA		COG0216	Peptide chain release factor RF1
IKKOIBFM_00096	CDS	441				hypothetical protein
IKKOIBFM_00097	CDS	879	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
IKKOIBFM_00098	CDS	804				hypothetical protein
IKKOIBFM_00099	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
IKKOIBFM_00100	CDS	948		1.-.-.-	COG1052	Putative 2-hydroxyacid dehydrogenase
IKKOIBFM_00101	CDS	1182	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
IKKOIBFM_00102	CDS	1293	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
