qseqid	qstart	qend	qlen	sseqid	sstart	send	slen	evalue	length	pident	gaps	gapopen	stitle
NC_007146.2	107284	124921	1914490	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056	26638	44279	59393	0.0	17643	98.674	6	6	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056 ICEberg|60|ICEHin1056|GenBank|AJ627386|1..59393 Haemophilus influenzae plasmid ICEhin1056.
NC_007146.2	92194	98315	1914490	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056	1	6110	59393	0.0	6125	98.041	18	5	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056 ICEberg|60|ICEHin1056|GenBank|AJ627386|1..59393 Haemophilus influenzae plasmid ICEhin1056.
NC_007146.2	128675	129737	1914490	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056	51899	50837	59393	0.0	1063	99.812	0	0	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056 ICEberg|60|ICEHin1056|GenBank|AJ627386|1..59393 Haemophilus influenzae plasmid ICEhin1056.
NC_007146.2	106353	107292	1914490	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056	13672	14612	59393	0.0	941	98.406	1	1	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056 ICEberg|60|ICEHin1056|GenBank|AJ627386|1..59393 Haemophilus influenzae plasmid ICEhin1056.
NC_007146.2	128011	128684	1914490	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056	52698	52025	59393	0.0	674	99.555	0	0	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056 ICEberg|60|ICEHin1056|GenBank|AJ627386|1..59393 Haemophilus influenzae plasmid ICEhin1056.
NC_007146.2	206201	206270	1914490	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056	1	70	59393	4.33e-25	70	98.571	0	0	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056 ICEberg|60|ICEHin1056|GenBank|AJ627386|1..59393 Haemophilus influenzae plasmid ICEhin1056.
NC_007146.2	124922	124959	1914490	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056	50838	50875	59393	5.72e-09	38	100.000	0	0	ICEberg~~~ICE_60~~~AJ627386~~~ICEHin1056 ICEberg|60|ICEHin1056|GenBank|AJ627386|1..59393 Haemophilus influenzae plasmid ICEhin1056.
NC_007146.2	129736	137263	1914490	ICEberg~~~ICE_960~~~KU551309~~~ICEApl1	41393	48921	56150	0.0	7536	98.209	15	8	ICEberg~~~ICE_960~~~KU551309~~~ICEApl1 ICEberg|960|ICEApl1|GenBank|KU551309|27..56176 Actinobacillus pleuropneumoniae strain MIDG2427 tRNA-Leu gene, integrative conjugative element ICEApl1 mobile element, and tRNA-Gly gene, complete sequence.
NC_007146.2	98262	105875	1914490	ICEberg~~~ICE_960~~~KU551309~~~ICEApl1	5986	13600	56150	0.0	7619	97.834	9	5	ICEberg~~~ICE_960~~~KU551309~~~ICEApl1 ICEberg|960|ICEApl1|GenBank|KU551309|27..56176 Actinobacillus pleuropneumoniae strain MIDG2427 tRNA-Leu gene, integrative conjugative element ICEApl1 mobile element, and tRNA-Gly gene, complete sequence.
NC_007146.2	145471	148416	1914490	ICEberg~~~ICE_960~~~KU551309~~~ICEApl1	53017	55944	56150	0.0	2953	92.821	32	22	ICEberg~~~ICE_960~~~KU551309~~~ICEApl1 ICEberg|960|ICEApl1|GenBank|KU551309|27..56176 Actinobacillus pleuropneumoniae strain MIDG2427 tRNA-Leu gene, integrative conjugative element ICEApl1 mobile element, and tRNA-Gly gene, complete sequence.
