qseqid	qstart	qend	qlen	sseqid	sstart	send	slen	evalue	length	pident	gaps	gapopen	stitle
IIBCLGFB_00093	1	278	278	ICEberg~~~ICE_60~~~CAF29009.1~~~putative_chromosome_partitioning_related_protein_Haemophilus_influenzae	1	278	278	7.09e-205	278	100	0	0	ICEberg~~~ICE_60~~~CAF29009.1~~~putative_chromosome_partitioning_related_protein_Haemophilus_influenzae  ICEberg|60 gi|51507260|emb|CAF29009.1| putative chromosome partitioning related protein [Haemophilus influenzae]
IIBCLGFB_00094	1	451	451	ICEberg~~~ICE_60~~~CAF29010.1~~~replicative_DNA_helicase_Haemophilus_influenzae	1	451	451	0.0	451	99.1	0	0	ICEberg~~~ICE_60~~~CAF29010.1~~~replicative_DNA_helicase_Haemophilus_influenzae  ICEberg|60 gi|51507261|emb|CAF29010.1| replicative DNA helicase [Haemophilus influenzae]
IIBCLGFB_00095	1	566	566	ICEberg~~~ICE_60~~~CAF29011.1~~~conserved_hypothetical_protein_Haemophilus_influenzae	1	562	562	0.0	566	95.9	4	1	ICEberg~~~ICE_60~~~CAF29011.1~~~conserved_hypothetical_protein_Haemophilus_influenzae  ICEberg|60 gi|51507262|emb|CAF29011.1| conserved hypothetical protein [Haemophilus influenzae]
IIBCLGFB_00096	1	183	183	ICEberg~~~ICE_60~~~CAF29012.1~~~conserved_hypothetical_protein_Haemophilus_influenzae	1	183	183	1.84e-128	183	100	0	0	ICEberg~~~ICE_60~~~CAF29012.1~~~conserved_hypothetical_protein_Haemophilus_influenzae  ICEberg|60 gi|51507263|emb|CAF29012.1| conserved hypothetical protein [Haemophilus influenzae]
IIBCLGFB_00097	1	407	407	ICEberg~~~ICE_60~~~CAF29013.1~~~conserved_hypothetical_protein_Haemophilus_influenzae	1	407	407	5.21e-288	407	98.0	0	0	ICEberg~~~ICE_60~~~CAF29013.1~~~conserved_hypothetical_protein_Haemophilus_influenzae  ICEberg|60 gi|51507264|emb|CAF29013.1| conserved hypothetical protein [Haemophilus influenzae]
IIBCLGFB_00099	1	251	251	ICEberg~~~ICE_60~~~CAF29014.1~~~conserved_hypothetical_protein_Haemophilus_influenzae	1	251	251	5.11e-180	251	100	0	0	ICEberg~~~ICE_60~~~CAF29014.1~~~conserved_hypothetical_protein_Haemophilus_influenzae  ICEberg|60 gi|51507265|emb|CAF29014.1| conserved hypothetical protein [Haemophilus influenzae]
IIBCLGFB_00100	1	157	157	ICEberg~~~ICE_960~~~ANC65531.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	157	157	3.20e-105	157	100	0	0	ICEberg~~~ICE_960~~~ANC65531.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443421|ref|ANC65531.1| hypothetical protein [Actinobacillus pleuropneumoniae]
IIBCLGFB_00101	1	140	140	ICEberg~~~ICE_960~~~ANC65532.1~~~single-stranded_DNA_binding_protein_Actinobacillus_pleuropneumoniae	1	140	140	2.35e-101	140	99.3	0	0	ICEberg~~~ICE_960~~~ANC65532.1~~~single-stranded_DNA_binding_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443422|ref|ANC65532.1| single-stranded DNA binding protein [Actinobacillus pleuropneumoniae]
IIBCLGFB_00102	1	172	172	ICEberg~~~ICE_960~~~ANC65533.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	172	172	1.66e-112	172	99.4	0	0	ICEberg~~~ICE_960~~~ANC65533.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443423|ref|ANC65533.1| hypothetical protein [Actinobacillus pleuropneumoniae]
IIBCLGFB_00103	1	185	185	ICEberg~~~ICE_60~~~CAF29018.1~~~hypothetical_protein_Haemophilus_influenzae	1	185	185	4.19e-135	185	96.8	0	0	ICEberg~~~ICE_60~~~CAF29018.1~~~hypothetical_protein_Haemophilus_influenzae  ICEberg|60 gi|51507269|emb|CAF29018.1| hypothetical protein [Haemophilus influenzae]
IIBCLGFB_00104	1	681	681	ICEberg~~~ICE_60~~~CAF29019.1~~~DNA_topoisomerase_III_Haemophilus_influenzae	1	681	681	0.0	681	97.8	0	0	ICEberg~~~ICE_60~~~CAF29019.1~~~DNA_topoisomerase_III_Haemophilus_influenzae  ICEberg|60 gi|51507270|emb|CAF29019.1| DNA topoisomerase III [Haemophilus influenzae]
IIBCLGFB_00105	1	142	142	ICEberg~~~ICE_60~~~CAF29020.1~~~conserved_hypothetical_protein_Haemophilus_influenzae	1	142	142	5.97e-105	142	100	0	0	ICEberg~~~ICE_60~~~CAF29020.1~~~conserved_hypothetical_protein_Haemophilus_influenzae  ICEberg|60 gi|51507271|emb|CAF29020.1| conserved hypothetical protein [Haemophilus influenzae]
IIBCLGFB_00106	1	213	213	ICEberg~~~ICE_960~~~ANC65537.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	213	213	2.86e-149	213	97.7	0	0	ICEberg~~~ICE_960~~~ANC65537.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443427|ref|ANC65537.1| hypothetical protein [Actinobacillus pleuropneumoniae]
IIBCLGFB_00108	1	156	156	ICEberg~~~ICE_60~~~CAF29022.1~~~putative_DNA_repair-like_protein_Haemophilus_influenzae	1	156	156	5.12e-106	156	97.4	0	0	ICEberg~~~ICE_60~~~CAF29022.1~~~putative_DNA_repair-like_protein_Haemophilus_influenzae  ICEberg|60 gi|51507273|emb|CAF29022.1| putative DNA repair-like protein [Haemophilus influenzae]
IIBCLGFB_00110	1	243	243	ICEberg~~~ICE_960~~~ANC65552.1~~~TraX_protein_Actinobacillus_pleuropneumoniae	1	243	243	3.60e-176	243	97.9	0	0	ICEberg~~~ICE_960~~~ANC65552.1~~~TraX_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443442|ref|ANC65552.1| TraX protein [Actinobacillus pleuropneumoniae]
IIBCLGFB_00111	1	209	209	ICEberg~~~ICE_60~~~CAF29039.1~~~putative_lipoprotein_precursor_Haemophilus_influenzae	1	209	209	5.56e-145	209	99.5	0	0	ICEberg~~~ICE_60~~~CAF29039.1~~~putative_lipoprotein_precursor_Haemophilus_influenzae  ICEberg|60 gi|51507288|emb|CAF29039.1| putative lipoprotein precursor [Haemophilus influenzae]
IIBCLGFB_00112	1	246	246	ICEberg~~~ICE_60~~~CAF29040.1~~~putative_exported_protein_precursor_Haemophilus_influenzae	1	246	246	2.74e-177	246	98.0	0	0	ICEberg~~~ICE_60~~~CAF29040.1~~~putative_exported_protein_precursor_Haemophilus_influenzae  ICEberg|60 gi|51507289|emb|CAF29040.1| putative exported protein precursor [Haemophilus influenzae]
