SEQUENCE	START	END	STRAND	ICEBERG_ID	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	DESCRIPTION
IIBCLGFB_00093	1	278	+	ICE_60	1-278/278	0/0	100.0	100.0	ICEberg	CAF29009.1	putative_chromosome_partitioning_related_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507260|emb|CAF29009.1| putative chromosome partitioning related protein [Haemophilus influenzae]
IIBCLGFB_00094	1	451	+	ICE_60	1-451/451	0/0	100.0	99.1	ICEberg	CAF29010.1	replicative_DNA_helicase_Haemophilus_influenzae	 ICEberg|60 gi|51507261|emb|CAF29010.1| replicative DNA helicase [Haemophilus influenzae]
IIBCLGFB_00095	1	566	+	ICE_60	1-562/562	1/4	100.0	95.9	ICEberg	CAF29011.1	conserved_hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507262|emb|CAF29011.1| conserved hypothetical protein [Haemophilus influenzae]
IIBCLGFB_00096	1	183	+	ICE_60	1-183/183	0/0	100.0	100.0	ICEberg	CAF29012.1	conserved_hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507263|emb|CAF29012.1| conserved hypothetical protein [Haemophilus influenzae]
IIBCLGFB_00097	1	407	+	ICE_60	1-407/407	0/0	100.0	98.0	ICEberg	CAF29013.1	conserved_hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507264|emb|CAF29013.1| conserved hypothetical protein [Haemophilus influenzae]
IIBCLGFB_00099	1	251	+	ICE_60	1-251/251	0/0	100.0	100.0	ICEberg	CAF29014.1	conserved_hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507265|emb|CAF29014.1| conserved hypothetical protein [Haemophilus influenzae]
IIBCLGFB_00100	1	157	+	ICE_960	1-157/157	0/0	100.0	100.0	ICEberg	ANC65531.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443421|ref|ANC65531.1| hypothetical protein [Actinobacillus pleuropneumoniae]
IIBCLGFB_00101	1	140	+	ICE_960	1-140/140	0/0	100.0	99.3	ICEberg	ANC65532.1	single-stranded_DNA_binding_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443422|ref|ANC65532.1| single-stranded DNA binding protein [Actinobacillus pleuropneumoniae]
IIBCLGFB_00102	1	172	+	ICE_960	1-172/172	0/0	100.0	99.4	ICEberg	ANC65533.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443423|ref|ANC65533.1| hypothetical protein [Actinobacillus pleuropneumoniae]
IIBCLGFB_00103	1	185	+	ICE_60	1-185/185	0/0	100.0	96.8	ICEberg	CAF29018.1	hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507269|emb|CAF29018.1| hypothetical protein [Haemophilus influenzae]
IIBCLGFB_00104	1	681	+	ICE_60	1-681/681	0/0	100.0	97.8	ICEberg	CAF29019.1	DNA_topoisomerase_III_Haemophilus_influenzae	 ICEberg|60 gi|51507270|emb|CAF29019.1| DNA topoisomerase III [Haemophilus influenzae]
IIBCLGFB_00105	1	142	+	ICE_60	1-142/142	0/0	100.0	100.0	ICEberg	CAF29020.1	conserved_hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507271|emb|CAF29020.1| conserved hypothetical protein [Haemophilus influenzae]
IIBCLGFB_00106	1	213	+	ICE_960	1-213/213	0/0	100.0	97.7	ICEberg	ANC65537.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443427|ref|ANC65537.1| hypothetical protein [Actinobacillus pleuropneumoniae]
IIBCLGFB_00108	1	156	+	ICE_60	1-156/156	0/0	100.0	97.4	ICEberg	CAF29022.1	putative_DNA_repair-like_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507273|emb|CAF29022.1| putative DNA repair-like protein [Haemophilus influenzae]
IIBCLGFB_00110	1	243	+	ICE_960	1-243/243	0/0	100.0	97.9	ICEberg	ANC65552.1	TraX_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443442|ref|ANC65552.1| TraX protein [Actinobacillus pleuropneumoniae]
IIBCLGFB_00111	1	209	+	ICE_60	1-209/209	0/0	100.0	99.5	ICEberg	CAF29039.1	putative_lipoprotein_precursor_Haemophilus_influenzae	 ICEberg|60 gi|51507288|emb|CAF29039.1| putative lipoprotein precursor [Haemophilus influenzae]
IIBCLGFB_00112	1	246	+	ICE_60	1-246/246	0/0	100.0	98.0	ICEberg	CAF29040.1	putative_exported_protein_precursor_Haemophilus_influenzae	 ICEberg|60 gi|51507289|emb|CAF29040.1| putative exported protein precursor [Haemophilus influenzae]
IIBCLGFB_00113	1	252	+	ICE_60	1-252/252	0/0	100.0	100.0	ICEberg	CAF29041.1	putative_exported_protein_precursor_Haemophilus_influenzae	 ICEberg|60 gi|51507290|emb|CAF29041.1| putative exported protein precursor [Haemophilus influenzae]
IIBCLGFB_00114	1	168	+	ICE_60	1-168/168	0/0	100.0	100.0	ICEberg	CAF29042.1	putative_exported_protein_precursor_Haemophilus_influenzae	 ICEberg|60 gi|51507291|emb|CAF29042.1| putative exported protein precursor [Haemophilus influenzae]
IIBCLGFB_00115	1	749	+	ICE_960	1-749/749	0/0	100.0	99.9	ICEberg	ANC65557.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443447|ref|ANC65557.1| hypothetical protein [Actinobacillus pleuropneumoniae]
IIBCLGFB_00116	1	111	+	ICE_960	1-111/111	0/0	100.0	100.0	ICEberg	ANC65558.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443448|ref|ANC65558.1| hypothetical protein [Actinobacillus pleuropneumoniae]
IIBCLGFB_00117	1	228	+	ICE_60	1-228/228	0/0	100.0	99.6	ICEberg	CAF29045.1	Putative_membrane_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507294|emb|CAF29045.1| Putative membrane protein [Haemophilus influenzae]
