locus_tag	ftype	length_bp	gene	EC_number	COG	product
DJPMMEHC_00001	CDS	435	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
DJPMMEHC_00002	CDS	846	rpoH		COG0568	RNA polymerase sigma factor RpoH
DJPMMEHC_00003	CDS	312				hypothetical protein
DJPMMEHC_00004	CDS	1026	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
DJPMMEHC_00005	CDS	1704	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
DJPMMEHC_00006	CDS	600	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
DJPMMEHC_00007	CDS	357	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
DJPMMEHC_00008	CDS	2724	hxuA		COG3210	Heme/hemopexin-binding protein
DJPMMEHC_00009	CDS	1689	hxuB		COG2831	Heme/hemopexin transporter protein HuxB
DJPMMEHC_00010	CDS	2154	hxuC		COG1629	Heme/hemopexin utilization protein C
DJPMMEHC_00011	CDS	1044				heptsyl_trn_I: lipopolysaccharide heptosyltransferase I
DJPMMEHC_00012	CDS	726	kdkA	2.7.1.166	COG0515	3-deoxy-D-manno-octulosonic acid kinase
DJPMMEHC_00013	CDS	588		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
DJPMMEHC_00014	CDS	789				hypothetical protein
DJPMMEHC_00015	tRNA	90				tRNA-Ser(gga)
DJPMMEHC_00016	CDS	324	yfiA		COG1544	Ribosome-associated factor Y
DJPMMEHC_00017	CDS	648			COG3317	Outer membrane protein assembly factor BamC 
DJPMMEHC_00018	CDS	897	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
DJPMMEHC_00019	CDS	468	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
DJPMMEHC_00020	CDS	453	tolQ_1			Tol-Pal system protein TolQ
DJPMMEHC_00021	CDS	444	tolR_1			Tol-Pal system protein TolR
DJPMMEHC_00022	CDS	798				tolA_full: protein TolA
DJPMMEHC_00023	CDS	519	ssb			Single-stranded DNA-binding protein
