locus_tag	ftype	length_bp	gene	EC_number	COG	product
BNDDHPLM_00001	CDS	1365	dnaA		COG0593	Chromosomal replication initiator protein DnaA
BNDDHPLM_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
BNDDHPLM_00003	CDS	1080	recF		COG1195	DNA replication and repair protein RecF
BNDDHPLM_00004	CDS	5775				hypothetical protein
BNDDHPLM_00005	CDS	603	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
BNDDHPLM_00006	CDS	1410	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
BNDDHPLM_00007	CDS	1077	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
BNDDHPLM_00008	CDS	1548	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
BNDDHPLM_00009	CDS	1122				dprA: DNA protecting protein DprA
BNDDHPLM_00010	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
BNDDHPLM_00011	CDS	582				hypothetical protein
BNDDHPLM_00012	CDS	966	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
BNDDHPLM_00013	CDS	486	smpB		COG0691	SsrA-binding protein
BNDDHPLM_00014	CDS	300	fis		COG2901	DNA-binding protein Fis
BNDDHPLM_00015	CDS	1062	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
BNDDHPLM_00016	CDS	888	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
BNDDHPLM_00017	CDS	873				2A78: carboxylate/amino acid/amine transporter
BNDDHPLM_00018	CDS	1455	panF		COG4145	Sodium/pantothenate symporter
BNDDHPLM_00019	CDS	258	yhdT		COG3924	putative membrane protein YhdT
BNDDHPLM_00020	CDS	1347	accC	6.3.4.14	COG0439	Biotin carboxylase
BNDDHPLM_00021	CDS	486	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
BNDDHPLM_00022	CDS	450	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
BNDDHPLM_00023	CDS	990	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
BNDDHPLM_00024	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
BNDDHPLM_00025	CDS	567				hypothetical protein
BNDDHPLM_00026	CDS	264	rpsT		COG0268	30S ribosomal protein S20
BNDDHPLM_00027	CDS	1575	murJ		COG0728	putative lipid II flippase MurJ
BNDDHPLM_00028	CDS	927	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
BNDDHPLM_00029	CDS	2826	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
BNDDHPLM_00030	CDS	351		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
BNDDHPLM_00031	CDS	351				hypothetical protein
BNDDHPLM_00032	CDS	1056	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
BNDDHPLM_00033	CDS	1176	rlmC	2.1.1.189	COG2265	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
BNDDHPLM_00034	CDS	675	crp_1		COG0664	cAMP-activated global transcriptional regulator CRP
BNDDHPLM_00035	CDS	252				hypothetical protein
BNDDHPLM_00036	CDS	657	slmA		COG1309	Nucleoid occlusion factor SlmA
BNDDHPLM_00037	CDS	456	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
BNDDHPLM_00038	CDS	1203	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
BNDDHPLM_00039	CDS	666				hypothetical protein
BNDDHPLM_00040	CDS	237	rpmB		COG0227	50S ribosomal protein L28
BNDDHPLM_00041	CDS	171	rpmG		COG0267	50S ribosomal protein L33
BNDDHPLM_00042	CDS	1365	dat	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
BNDDHPLM_00043	CDS	234	vapB2			Antitoxin VapB2
BNDDHPLM_00044	CDS	399	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
BNDDHPLM_00045	CDS	1536	ddc	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
BNDDHPLM_00046	CDS	816	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
BNDDHPLM_00047	CDS	1023	degS	3.4.21.107	COG0265	Serine endoprotease DegS
BNDDHPLM_00048	CDS	1119	ribD		COG0117	Riboflavin biosynthesis protein RibD
BNDDHPLM_00049	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
BNDDHPLM_00050	CDS	3366	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
BNDDHPLM_00051	CDS	297				hypothetical protein
BNDDHPLM_00052	CDS	684				hypothetical protein
BNDDHPLM_00053	CDS	720				hypothetical protein
BNDDHPLM_00054	CDS	513				hypothetical protein
BNDDHPLM_00055	CDS	813	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
BNDDHPLM_00056	CDS	1908	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
BNDDHPLM_00057	CDS	531	dsbE_1		COG0526	Thiol:disulfide interchange protein DsbE
BNDDHPLM_00058	CDS	1143				cyt_nit_nrfF: cytochrome c nitrite reductase, accessory protein NrfF
BNDDHPLM_00059	CDS	1206			COG2081	putative protein
BNDDHPLM_00060	CDS	1311	eno	4.2.1.11	COG0148	Enolase
BNDDHPLM_00061	CDS	420				hypothetical protein
BNDDHPLM_00062	CDS	582				hypothetical protein
BNDDHPLM_00063	CDS	1182	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
BNDDHPLM_00064	CDS	1527	katA	1.11.1.6	COG0753	Catalase
BNDDHPLM_00065	CDS	909	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
BNDDHPLM_00066	CDS	261				hypothetical protein
BNDDHPLM_00067	CDS	366			COG2852	putative protein
BNDDHPLM_00068	CDS	417				hypothetical protein
BNDDHPLM_00069	CDS	2169	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
BNDDHPLM_00070	tRNA	77				tRNA-Met(cat)
BNDDHPLM_00071	CDS	1035	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
BNDDHPLM_00072	CDS	504	lptE		COG2980	LPS-assembly lipoprotein LptE
BNDDHPLM_00073	CDS	2586	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
BNDDHPLM_00074	CDS	720	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
BNDDHPLM_00075	CDS	867	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
BNDDHPLM_00076	CDS	1332	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
BNDDHPLM_00077	CDS	2382	bamA		COG4775	Outer membrane protein assembly factor BamA
BNDDHPLM_00078	CDS	594			COG2825	Outer membrane protein 26
BNDDHPLM_00079	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
BNDDHPLM_00080	CDS	852	tsf		COG0264	Elongation factor Ts
BNDDHPLM_00081	CDS	723	rpsB		COG0052	30S ribosomal protein S2
BNDDHPLM_00082	CDS	765	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
BNDDHPLM_00083	CDS	1857	kefC		COG0475	Glutathione-regulated potassium-efflux system protein KefC
BNDDHPLM_00084	CDS	411	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
BNDDHPLM_00085	CDS	2706	secA		COG0653	Protein translocase subunit SecA
BNDDHPLM_00086	CDS	303				hypothetical protein
BNDDHPLM_00087	CDS	315				hypothetical protein
BNDDHPLM_00088	CDS	522	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
BNDDHPLM_00089	CDS	852	thyA	2.1.1.45	COG0207	Thymidylate synthase
BNDDHPLM_00090	CDS	807	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
BNDDHPLM_00091	CDS	795				hypothetical protein
BNDDHPLM_00092	CDS	591	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
BNDDHPLM_00093	CDS	1107	proB	2.7.2.11	COG0263	Glutamate 5-kinase
BNDDHPLM_00094	CDS	483	folA	1.5.1.3	COG0262	Dihydrofolate reductase
BNDDHPLM_00095	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
BNDDHPLM_00096	CDS	1533	emrB			Multidrug export protein EmrB
BNDDHPLM_00097	CDS	771	ftsN		COG3087	Cell division protein FtsN
BNDDHPLM_00098	CDS	3081	bepE			Efflux pump membrane transporter BepE
BNDDHPLM_00099	CDS	1197	mdtA			Multidrug resistance protein MdtA
BNDDHPLM_00100	CDS	564			COG1309	putative HTH-type transcriptional regulator
BNDDHPLM_00101	CDS	1248	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
BNDDHPLM_00102	CDS	207	yacG		COG3024	DNA gyrase inhibitor YacG
BNDDHPLM_00103	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
BNDDHPLM_00104	CDS	1266	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
BNDDHPLM_00105	CDS	1572				hypothetical protein
BNDDHPLM_00106	CDS	1290	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
BNDDHPLM_00107	CDS	1599	purH		COG0138	Bifunctional purine biosynthesis protein PurH
BNDDHPLM_00108	CDS	405				hypothetical protein
BNDDHPLM_00109	CDS	1740	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
BNDDHPLM_00110	CDS	711	arcA		COG0745	Aerobic respiration control protein ArcA
